speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
ANAKIN,OBI-WAN,281,And?,1,1,
OBI-WAN,ANAKIN,282,"Anakin, I am on your side. I didn't want to put you in this situation.",1,15,
ANAKIN,OBI-WAN,283,What situation?,1,2,
OBI-WAN,ANAKIN,284,The Council wants you to report on all of the Chancellor's dealings. They want to know what he's up to.,1,20,
ANAKIN,OBI-WAN,285,They want me to spy on the Chancellor? That's treason!,1,10,
OBI-WAN,ANAKIN,286,"We are at war, Anakin.",1,5,
ANAKIN,OBI-WAN,287,Why didn't the Council give me this assignment when we were in session?,1,13,
OBI-WAN,ANAKIN,288,This assignment is not to be on record.,1,8,
ANAKIN,OBI-WAN,289,"The Chancellor is not a bad man, Obi-Wan. He befriended me. He's watched out for me ever since I arrived here.",1,21,
OBI-WAN,ANAKIN,290,"That is why you must help us. Anakin, our allegiance is to the Senate, not to its leader who has managed to stay in office long after his term has expired.",1,31,
ANAKIN,OBI-WAN,291,The Senate demanded that he stay longer.,1,7,
OBI-WAN,ANAKIN,292,"Yes, but use your feelings, Anakin. Something is out of place.",1,11,
ANAKIN,OBI-WAN,293,You're asking me to do something against the Jedi Code. Against the Republic. Against a mentor... and a friend. That's what's out of place here. Why are you asking this of me?,1,32,
OBI-WAN,ANAKIN,294,The Council is asking you.,1,5,
OBI-WAN,"MACE WINDU, YODA",295,Anakin did not take to his assignment with much enthusiasm.,1,10,
MACE WINDU,OBI-WAN,296,"It's very dangerous, putting them together. I don't think the boy can handle it. I don't trust him.",1,18,
OBI-WAN,MACE WINDU,297,"With all due respect, Master, is he not the Chosen One? Is he not to destroy the Sith and bring balance to the Force?",1,24,
MACE WINDU,OBI-WAN,298,So the prophecy says.,1,4,
YODA,"OBI-WAN, MACE WINDU",299,A prophecy... that misread could have been.,1,7,
OBI-WAN,YODA,300,He will not let me down. He never has.,1,9,
YODA,OBI-WAN,301,I hope right you are.,1,5,
ANAKIN,PADME,302,"Sometimes, I wonder what's happening to the Jedi Order... I think this war is destroying the principles of the Republic.",1,20,
PADME,ANAKIN,303,Have you ever considered that we may be on the wrong side?,1,12,
ANAKIN,PADME,304,What do you mean?,1,4,
PADME,ANAKIN,305,"What if the democracy we thought we were serving no longer exists, and the Republic has become the very evil we've been fighting to destroy?",1,25,
ANAKIN,PADME,306,I don't believe that. And you're sounding like a Separatist!,1,10,
PADME,ANAKIN,307,"This war represents a failure to listen... Now, you're closer to the Chancellor than anyone. Please, ask him to stop the fighting and let diplomacy resume.",1,26,
ANAKIN,PADME,308,"Don't ask me to do that. Make a motion in the Senate, where that kind of a request belongs.",1,19,
PADME,ANAKIN,309,What is it?,1,3,
ANAKIN,PADME,310,Nothing.,1,1,
PADME,ANAKIN,311,"Don't do this... don't shut me out. Let me help you. Hold me... like you did by the lake on Naboo, so long ago... when there was nothing but our love... No politics, no plotting... no war.",2,37,
ANAKIN,PALPATINE,312,"You wanted to see me, Chancellor.",1,6,
PALPATINE,ANAKIN,313,"Yes, Anakin! Come closer. I have good news. Our Clone Intelligence Units have discovered the location of General Grievous. He's hiding in the Utapau system.",1,25,
ANAKIN,PALPATINE,314,"At last, we'll be able to capture that monster and end this war.",1,13,
