from,to,dialogue,yarn_id
OBI-WAN,ZAM WESSEL,And who hired you?,873965
ZAM WESSEL,OBI-WAN,It was just a job.,873965
ANAKIN,ZAM WESSEL,"Who hired you, tell us.",873966
ANAKIN,ZAM WESSEL,Tell us now!,873967
ZAM WESSEL,ANAKIN,It was a bounty hunter called.,873968
ZAM WESSEL,"OBI-WAN, ANAKIN",Wee shahnit.,873969
ZAM WESSEL,"OBI-WAN, ANAKIN",sleemo.,873969
OBI-WAN,ANAKIN,Toxic dart.,873970
YODA,OBI-WAN,"Track down this bounty hunter you must, Obi-Wan.",873971
MACE WINDU,OBI-WAN,"Most importantly, find out who he's working for.",873972
OBI-WAN,"MACE WINDU, YODA",What about Senator Amidala?,873973
OBI-WAN,"MACE WINDU, YODA",She will still need protecting.,873973
YODA,OBI-WAN,Handle that your Padawan will.,873974
MACE WINDU,ANAKIN,"Anakin, escort the senator back to her home planet of Naboo.",873975
MACE WINDU,ANAKIN,She'll be safer there.,873976
MACE WINDU,ANAKIN,And don't use registered transport.,873976
MACE WINDU,ANAKIN,Travel as refugees.,873977
ANAKIN,MACE WINDU,"As the leader of the opposition, it will be very difficult.",873978
ANAKIN,MACE WINDU,to get Senator Amidala to leave the capital.,873979
YODA,ANAKIN,Until caught this killer is.,873980
YODA,ANAKIN,our judgment she must respect.,873981
MACE WINDU,ANAKIN,"Anakin, go to the senate.",873982
MACE WINDU,ANAKIN,and ask Chancellor Palpatine to speak with her about this matter.,873983
PALPATINE,ANAKIN,I will talk with her.,873984
PALPATINE,ANAKIN,Senator Amidala will not refuse an executive order.,873985
PALPATINE,ANAKIN,I know her well enough to assure you of that.,873986
ANAKIN,PALPATINE,"Thank you, Your Excellency.",873987
PALPATINE,ANAKIN,"And so, they've finally given you an assignment.",873988
PALPATINE,ANAKIN,Your patience has paid off.,873989
ANAKIN,PALPATINE,Your guidance more than my patience.,873990
PALPATINE,ANAKIN,"You don't need guidance, Anakin.",873991
PALPATINE,ANAKIN,"In time, you will learn to trust your feelings.",873992
